timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/18 22:03:30.901, 0, 2168, 12288, 92.45
2026/09/18 22:03:35.855, 14, 2276, 12288, 90.89
2026/09/18 22:03:40.828, 71, 8854, 12288, 248.38
2026/09/18 22:03:45.813, 73, 8854, 12288, 283.30
2026/09/18 22:03:50.805, 92, 8854, 12288, 282.85
2026/09/18 22:03:55.800, 90, 8854, 12288, 279.82
2026/09/18 22:04:00.797, 0, 9372, 12288, 151.40
2026/09/18 22:04:05.814, 73, 9372, 12288, 265.14
2026/09/18 22:04:10.833, 91, 9372, 12288, 285.57
2026/09/18 22:04:15.844, 71, 9372, 12288, 289.91
2026/09/18 22:04:20.851, 52, 9372, 12288, 293.17
2026/09/18 22:04:25.856, 93, 9372, 12288, 294.24
2026/09/18 22:04:30.860, 66, 9372, 12288, 289.49
2026/09/18 22:04:35.862, 73, 9372, 12288, 290.62
2026/09/18 22:04:40.867, 94, 9372, 12288, 294.30
2026/09/18 22:04:45.872, 90, 9372, 12288, 290.23
2026/09/18 22:04:50.876, 73, 9372, 12288, 294.66
2026/09/18 22:04:55.879, 92, 9372, 12288, 293.39
2026/09/18 22:05:00.883, 66, 9372, 12288, 291.77
2026/09/18 22:05:05.885, 73, 9372, 12288, 148.21
2026/09/18 22:05:10.888, 90, 9372, 12288, 291.23
2026/09/18 22:05:15.891, 69, 9372, 12288, 291.00
2026/09/18 22:05:20.893, 93, 9372, 12288, 292.74
2026/09/18 22:05:25.896, 0, 9372, 12288, 180.04
2026/09/18 22:05:30.899, 69, 9372, 12288, 292.88
2026/09/18 22:05:35.902, 93, 9372, 12288, 290.48
2026/09/18 22:05:40.910, 69, 9372, 12288, 291.89
2026/09/18 22:05:45.940, 94, 9372, 12288, 291.43
2026/09/18 22:05:50.962, 91, 9372, 12288, 291.54
2026/09/18 22:05:55.979, 72, 9372, 12288, 291.02
2026/09/18 22:06:00.992, 92, 9372, 12288, 296.35
2026/09/18 22:06:06.003, 70, 9372, 12288, 292.70
2026/09/18 22:06:11.012, 79, 9372, 12288, 272.07
2026/09/18 22:06:16.019, 81, 9372, 12288, 293.40
2026/09/18 22:06:21.025, 91, 9372, 12288, 291.51
2026/09/18 22:06:26.030, 76, 9372, 12288, 292.19
2026/09/18 22:06:31.034, 68, 9372, 12288, 294.10
2026/09/18 22:06:36.039, 83, 9372, 12288, 293.86
2026/09/18 22:06:41.042, 85, 9372, 12288, 293.19
2026/09/18 22:06:46.043, 78, 9372, 12288, 293.54
2026/09/18 22:06:50.970, 69, 9372, 12288, 294.61
2026/09/18 22:06:55.933, 91, 9372, 12288, 295.19
2026/09/18 22:07:00.912, 89, 9372, 12288, 292.91
2026/09/18 22:07:05.902, 72, 9372, 12288, 288.81
2026/09/18 22:07:10.896, 0, 9372, 12288, 170.46
2026/09/18 22:07:15.893, 72, 9372, 12288, 291.27
2026/09/18 22:07:20.948, 72, 9372, 12288, 292.42
2026/09/18 22:07:25.989, 82, 9372, 12288, 291.92
2026/09/18 22:07:31.011, 93, 9372, 12288, 300.72
